-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 01/01/1990 through 03/31/2020 
Location: Latitude  34.6078   Longitude 43.6908 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 140.22 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN SRB/FLASHFlux 1/2x1/2 All Sky Insolation Incident on a Horizontal Surface (kW-hr/m^2/day) 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
WS10M_MIN MERRA2 1/2x1/2 Minimum Wind Speed at 10 Meters (m/s) 
T2M_MAX MERRA2 1/2x1/2 Maximum Temperature at 2 Meters (C) 
ALLSKY_SFC_LW_DWN SRB/FLASHFlux 1/2x1/2 Downward Thermal Infrared (Longwave) Radiative Flux (kW-hr/m^2/day) 
CLRSKY_SFC_SW_DWN SRB/FLASHFlux 1/2x1/2 Clear Sky Insolation Incident on a Horizontal Surface (kW-hr/m^2/day) 
T2M_MIN MERRA2 1/2x1/2 Minimum Temperature at 2 Meters (C) 
WS10M_MAX MERRA2 1/2x1/2 Maximum Wind Speed at 10 Meters (m/s) 
KT SRB/FLASHFlux 1/2x1/2 Insolation Clearness Index (dimensionless) 
TS MERRA2 1/2x1/2 Earth Skin Temperature (C) 
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) 
WS10M MERRA2 1/2x1/2 Wind Speed at 10 Meters (m/s) 
-END HEADER-
LAT,LON,YEAR,MO,DY,RH2M,T2M_MAX,T2M_MIN,T2M,WS10M,ALLSKY_SFC_LW_DWN,TS,WS10M_MIN,WS10M_MAX,KT,CLRSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DWN
34.60781,43.69081,1990,03,19,   38.35,   22.16,    4.18,   12.60,    3.29,              6.56,   13.18,    1.53,    6.67,              0.73,              6.39,              6.23
34.60781,43.69081,1990,03,20,   30.17,   19.83,    5.24,   11.56,    7.44,              6.45,   11.82,    4.13,    9.91,              0.71,              6.29,              6.10
34.60781,43.69081,1990,03,21,   30.62,   21.86,    3.11,   11.54,    4.09,              6.28,   11.74,    0.56,    6.83,              0.76,              6.64,              6.63
34.60781,43.69081,1990,03,22,   32.71,   23.12,    4.30,   13.64,    2.43,              7.06,   13.30,    0.66,    4.59,              0.71,              6.29,              6.23
34.60781,43.69081,1990,03,23,   32.03,   25.41,    6.43,   16.22,    2.94,              7.42,   16.00,    0.66,    4.48,              0.45,              5.52,              3.93
34.60781,43.69081,1990,03,24,   39.71,   25.09,   10.67,   16.71,    3.84,              7.25,   17.44,    1.42,    7.48,              0.60,              5.55,              5.29
34.60781,43.69081,1990,03,25,   45.59,   22.86,    9.04,   15.69,    3.05,              6.98,   16.55,    1.77,    4.33,              0.64,              5.76,              5.76
34.60781,43.69081,1990,03,26,   41.31,   24.11,    9.03,   16.34,    2.08,              8.10,   17.18,    0.64,    3.17,              0.60,              6.34,              5.43
34.60781,43.69081,1990,03,27,   45.21,   24.48,    9.90,   17.04,    3.27,              7.58,   17.52,    2.19,    4.85,              0.60,              5.62,              5.43
34.60781,43.69081,1990,03,28,   41.47,   26.03,    9.59,   17.94,    2.44,              7.44,   18.21,    1.61,    3.71,              0.63,              6.30,              5.71
34.60781,43.69081,1990,03,29,   35.76,   27.23,   13.39,   19.70,    1.88,              7.44,   19.09,    0.64,    3.57,              0.65,              6.30,              5.93
34.60781,43.69081,1990,03,30,   37.22,   27.53,   11.20,   19.46,    2.50,              7.57,   19.72,    0.87,    3.74,              0.64,              6.36,              5.94
